Timestamp,Target Class,Threat Level,Confidence (%),Bounding Box
18:45:40.849,PERSON,ORTA,43,"(318, 73, 1196, 712)"
18:45:40.920,PERSON,ORTA,57,"(393, 109, 1205, 712)"
18:45:40.991,PERSON,ORTA,75,"(407, 300, 1212, 713)"
18:45:41.057,PERSON,ORTA,71,"(418, 302, 1223, 713)"
18:45:41.122,PERSON,ORTA,74,"(427, 297, 1243, 713)"
18:45:41.192,PERSON,ORTA,43,"(438, 293, 975, 714)"
18:45:41.258,CAT,ASAGI,55,"(941, 268, 1278, 705)"
18:45:41.258,PERSON,ORTA,52,"(11, 295, 837, 717)"
18:45:41.325,PERSON,ORTA,50,"(457, 291, 970, 715)"
18:45:41.397,PERSON,ORTA,55,"(452, 293, 838, 716)"
18:45:41.470,PERSON,ORTA,74,"(456, 292, 836, 716)"
18:45:41.540,PERSON,ORTA,56,"(462, 291, 833, 715)"
18:45:41.608,PERSON,ORTA,62,"(452, 292, 837, 716)"
18:45:41.672,PERSON,ORTA,46,"(443, 293, 836, 716)"
18:45:41.733,PERSON,ORTA,53,"(280, 288, 836, 716)"
18:45:41.797,PERSON,ORTA,50,"(283, 290, 834, 717)"
18:45:41.863,PERSON,ORTA,46,"(455, 292, 838, 715)"
18:45:41.927,PERSON,ORTA,46,"(458, 292, 837, 715)"
18:45:41.995,PERSON,ORTA,46,"(0, 199, 453, 673)"
18:45:42.062,PERSON,ORTA,54,"(0, 232, 479, 661)"
18:45:42.137,PERSON,ORTA,42,"(0, 256, 493, 649)"
18:45:42.207,PERSON,ORTA,54,"(1, 291, 828, 714)"
18:45:42.274,PERSON,ORTA,51,"(4, 293, 1048, 715)"
18:45:42.274,PERSON,ORTA,42,"(827, 294, 1279, 649)"
18:45:42.342,PERSON,ORTA,52,"(3, 290, 922, 715)"
18:45:42.412,PERSON,ORTA,40,"(8, 290, 845, 714)"
18:45:42.483,PERSON,ORTA,60,"(1, 291, 991, 716)"
18:45:42.548,PERSON,ORTA,61,"(2, 290, 957, 714)"
18:45:42.618,PERSON,ORTA,45,"(23, 289, 1015, 715)"
18:45:42.690,PERSON,ORTA,44,"(4, 289, 858, 714)"
18:45:42.753,PERSON,ORTA,61,"(2, 288, 960, 713)"
18:45:42.753,PERSON,ORTA,41,"(812, 289, 1279, 630)"
18:45:42.821,PERSON,ORTA,47,"(2, 289, 883, 715)"
18:45:42.888,PERSON,ORTA,44,"(4, 290, 837, 715)"
18:45:42.959,PERSON,ORTA,59,"(3, 291, 939, 715)"
18:45:43.029,PERSON,ORTA,49,"(3, 290, 1023, 715)"
18:45:43.029,PERSON,ORTA,42,"(349, 288, 1280, 710)"
18:45:43.094,PERSON,ORTA,45,"(811, 291, 1279, 640)"
18:45:43.094,PERSON,ORTA,43,"(9, 290, 845, 714)"
18:45:43.162,PERSON,ORTA,59,"(2, 290, 827, 714)"
18:45:43.233,PERSON,ORTA,49,"(4, 291, 907, 715)"
18:45:43.302,PERSON,ORTA,44,"(3, 291, 953, 713)"
18:45:43.373,PERSON,ORTA,59,"(188, 287, 1270, 712)"
18:45:43.373,PERSON,ORTA,42,"(37, 289, 808, 714)"
18:45:43.442,PERSON,ORTA,63,"(479, 289, 811, 712)"
18:45:43.585,PERSON,ORTA,41,"(457, 288, 1275, 714)"
18:45:43.648,PERSON,ORTA,59,"(208, 289, 1276, 714)"
