Timestamp,Target Class,Threat Level,Confidence (%),Lock Status,Bounding Box
19:12:54.460,PERSON,ORTA,75,NO,"(492, 196, 837, 712)"
19:12:54.519,PERSON,ORTA,63,NO,"(488, 197, 839, 713)"
19:12:54.579,PERSON,ORTA,76,NO,"(495, 198, 836, 710)"
19:12:54.642,PERSON,ORTA,78,NO,"(495, 197, 838, 711)"
19:12:54.705,PERSON,ORTA,75,NO,"(493, 197, 836, 708)"
19:12:54.768,PERSON,ORTA,77,NO,"(489, 193, 834, 710)"
19:12:54.832,PERSON,ORTA,69,NO,"(475, 196, 835, 712)"
19:12:54.895,PERSON,ORTA,70,NO,"(484, 195, 833, 708)"
19:12:54.951,PERSON,ORTA,76,NO,"(484, 195, 831, 711)"
19:12:55.010,PERSON,ORTA,76,NO,"(483, 195, 830, 711)"
19:12:55.070,PERSON,ORTA,82,NO,"(485, 196, 831, 711)"
19:12:55.134,PERSON,ORTA,82,NO,"(485, 196, 831, 711)"
19:12:55.196,PERSON,ORTA,82,NO,"(486, 195, 831, 711)"
19:12:55.256,PERSON,ORTA,69,NO,"(482, 199, 835, 712)"
19:12:55.313,PERSON,ORTA,69,NO,"(482, 199, 835, 712)"
19:12:55.370,PERSON,ORTA,77,NO,"(486, 201, 831, 708)"
19:12:55.427,PERSON,ORTA,78,NO,"(485, 204, 831, 710)"
19:12:55.483,PERSON,ORTA,75,NO,"(482, 205, 832, 711)"
19:12:55.543,PERSON,ORTA,75,NO,"(485, 206, 829, 705)"
19:12:55.605,PERSON,ORTA,77,NO,"(464, 208, 836, 713)"
19:12:55.668,PERSON,ORTA,78,NO,"(485, 209, 833, 711)"
19:12:55.731,PERSON,ORTA,79,NO,"(488, 209, 832, 710)"
19:12:55.795,PERSON,ORTA,83,NO,"(491, 211, 832, 712)"
19:12:55.852,PERSON,ORTA,87,NO,"(493, 242, 827, 713)"
19:12:55.904,PERSON,ORTA,86,NO,"(493, 247, 828, 713)"
19:12:55.962,PERSON,ORTA,86,NO,"(493, 238, 828, 712)"
19:12:56.021,PERSON,ORTA,86,NO,"(493, 238, 828, 712)"
19:12:56.077,PERSON,ORTA,86,NO,"(495, 229, 831, 712)"
19:12:56.134,PERSON,ORTA,85,NO,"(496, 231, 831, 712)"
19:12:56.190,PERSON,ORTA,85,NO,"(496, 240, 829, 713)"
19:12:56.250,PERSON,ORTA,87,NO,"(496, 234, 830, 712)"
19:12:56.307,PERSON,ORTA,86,NO,"(495, 232, 831, 712)"
19:12:56.369,PERSON,ORTA,85,NO,"(496, 237, 830, 713)"
19:12:56.432,PERSON,ORTA,86,NO,"(496, 236, 829, 712)"
19:12:56.494,PERSON,ORTA,84,NO,"(495, 235, 830, 712)"
19:12:56.551,PERSON,ORTA,84,NO,"(496, 235, 833, 713)"
19:12:56.607,PERSON,ORTA,84,NO,"(496, 235, 832, 712)"
19:12:56.666,PERSON,ORTA,86,NO,"(496, 237, 832, 712)"
19:12:56.726,PERSON,ORTA,86,NO,"(496, 237, 832, 712)"
19:12:56.786,PERSON,ORTA,83,NO,"(497, 236, 832, 712)"
19:12:56.844,PERSON,ORTA,86,NO,"(497, 238, 833, 713)"
19:12:56.844,CAT,ASAGI,44,NO,"(0, 99, 218, 504)"
19:12:56.901,PERSON,ORTA,84,NO,"(496, 236, 832, 713)"
19:12:56.901,CAT,ASAGI,52,NO,"(0, 21, 276, 563)"
19:12:56.959,PERSON,ORTA,84,NO,"(496, 234, 833, 712)"
19:12:56.959,CAT,ASAGI,59,NO,"(0, 87, 319, 635)"
19:12:57.017,PERSON,ORTA,80,NO,"(496, 233, 836, 711)"
19:12:57.017,CAT,ASAGI,47,NO,"(0, 119, 374, 658)"
19:12:57.077,PERSON,ORTA,83,NO,"(497, 236, 835, 712)"
19:12:57.138,PERSON,ORTA,85,NO,"(498, 236, 831, 712)"
19:12:57.197,PERSON,ORTA,84,NO,"(497, 235, 834, 712)"
19:12:57.256,PERSON,ORTA,70,NO,"(0, 22, 733, 709)"
19:12:57.316,PERSON,ORTA,76,NO,"(0, 14, 752, 706)"
19:12:57.316,PERSON,ORTA,46,NO,"(506, 238, 828, 709)"
19:12:57.372,PERSON,ORTA,81,NO,"(0, 7, 769, 707)"
19:12:57.432,PERSON,ORTA,81,NO,"(0, 7, 769, 707)"
19:12:57.492,PERSON,ORTA,78,NO,"(2, 5, 800, 708)"
19:12:57.554,PERSON,ORTA,71,NO,"(0, 11, 753, 709)"
19:12:57.554,PERSON,ORTA,50,NO,"(513, 240, 832, 711)"
19:12:57.617,PERSON,ORTA,71,NO,"(0, 11, 753, 709)"
19:12:57.617,PERSON,ORTA,50,NO,"(513, 240, 832, 711)"
19:12:57.674,PERSON,ORTA,67,NO,"(0, 12, 735, 708)"
19:12:57.674,PERSON,ORTA,43,NO,"(511, 233, 831, 708)"
19:12:57.730,PERSON,ORTA,71,NO,"(0, 9, 721, 709)"
19:12:57.730,PERSON,ORTA,52,NO,"(510, 239, 832, 709)"
19:12:57.788,PERSON,ORTA,78,NO,"(0, 5, 704, 710)"
19:12:57.788,PERSON,ORTA,57,NO,"(515, 237, 831, 708)"
19:12:57.847,PERSON,ORTA,73,NO,"(0, 6, 699, 710)"
19:12:57.847,PERSON,ORTA,63,NO,"(510, 239, 832, 711)"
19:12:57.903,PERSON,ORTA,73,NO,"(0, 5, 700, 711)"
19:12:57.903,PERSON,ORTA,61,NO,"(510, 236, 832, 705)"
19:12:57.963,PERSON,ORTA,72,NO,"(0, 5, 689, 713)"
19:12:57.963,PERSON,ORTA,62,NO,"(512, 239, 830, 710)"
19:12:58.025,PERSON,ORTA,65,NO,"(512, 236, 833, 710)"
19:12:58.025,PERSON,ORTA,62,NO,"(0, 4, 695, 712)"
19:12:58.089,PERSON,ORTA,55,NO,"(0, 6, 696, 710)"
19:12:58.089,PERSON,ORTA,53,NO,"(510, 234, 831, 712)"
19:12:58.152,PERSON,ORTA,56,NO,"(0, 4, 691, 706)"
19:12:58.208,PERSON,ORTA,74,NO,"(1, 3, 825, 708)"
19:12:58.266,PERSON,ORTA,60,NO,"(0, 7, 820, 708)"
19:12:58.325,PERSON,ORTA,60,NO,"(0, 7, 820, 708)"
19:12:58.380,PERSON,ORTA,61,NO,"(0, 17, 820, 709)"
19:12:58.439,PERSON,ORTA,72,NO,"(3, 15, 830, 707)"
19:12:58.496,PERSON,ORTA,66,NO,"(5, 55, 829, 709)"
19:12:58.557,PERSON,ORTA,53,NO,"(8, 95, 830, 709)"
19:12:58.618,PERSON,ORTA,54,NO,"(7, 96, 829, 709)"
19:12:58.675,PERSON,ORTA,69,NO,"(14, 151, 831, 708)"
19:12:58.732,PERSON,ORTA,71,NO,"(32, 221, 834, 711)"
19:12:58.793,PERSON,ORTA,82,NO,"(20, 196, 833, 710)"
19:12:58.854,PERSON,ORTA,84,NO,"(13, 204, 835, 712)"
19:12:58.913,PERSON,ORTA,86,NO,"(30, 223, 836, 713)"
19:12:58.968,PERSON,ORTA,82,NO,"(13, 240, 836, 712)"
19:12:59.027,PERSON,ORTA,82,NO,"(13, 240, 836, 712)"
19:12:59.081,PERSON,ORTA,85,NO,"(17, 246, 834, 713)"
19:12:59.142,PERSON,ORTA,82,NO,"(12, 249, 837, 714)"
19:12:59.198,PERSON,ORTA,80,NO,"(4, 247, 835, 710)"
19:12:59.256,PERSON,ORTA,79,NO,"(7, 246, 836, 710)"
19:12:59.309,PERSON,ORTA,81,NO,"(1, 244, 837, 711)"
19:12:59.365,PERSON,ORTA,76,NO,"(11, 244, 835, 711)"
19:12:59.424,PERSON,ORTA,81,NO,"(12, 245, 834, 711)"
19:12:59.484,PERSON,ORTA,70,NO,"(3, 245, 832, 710)"
19:12:59.547,PERSON,ORTA,70,NO,"(3, 245, 832, 710)"
19:12:59.602,PERSON,ORTA,72,NO,"(6, 230, 835, 710)"
19:12:59.660,PERSON,ORTA,77,NO,"(4, 230, 831, 710)"
19:12:59.719,PERSON,ORTA,77,NO,"(4, 230, 831, 710)"
19:12:59.782,PERSON,ORTA,70,NO,"(3, 233, 831, 710)"
19:12:59.841,PERSON,ORTA,79,NO,"(3, 240, 830, 710)"
19:12:59.905,PERSON,ORTA,79,NO,"(3, 240, 830, 710)"
19:12:59.964,PERSON,ORTA,84,NO,"(2, 239, 832, 710)"
19:13:00.022,PERSON,ORTA,87,NO,"(0, 241, 832, 710)"
19:13:00.077,PERSON,ORTA,84,NO,"(2, 231, 831, 711)"
19:13:00.136,PERSON,ORTA,84,NO,"(3, 228, 833, 711)"
19:13:00.193,PERSON,ORTA,85,NO,"(2, 229, 833, 710)"
19:13:00.251,PERSON,ORTA,87,NO,"(3, 236, 833, 710)"
19:13:00.310,PERSON,ORTA,86,NO,"(0, 237, 835, 710)"
19:13:00.372,PERSON,ORTA,85,NO,"(3, 234, 834, 711)"
19:13:00.437,PERSON,ORTA,85,NO,"(3, 234, 834, 711)"
19:13:00.493,PERSON,ORTA,85,NO,"(2, 232, 836, 710)"
19:13:00.549,PERSON,ORTA,86,NO,"(2, 235, 836, 710)"
19:13:00.609,PERSON,ORTA,86,NO,"(2, 235, 836, 710)"
19:13:00.668,PERSON,ORTA,87,NO,"(1, 233, 833, 710)"
19:13:00.727,PERSON,ORTA,86,NO,"(4, 230, 835, 711)"
19:13:00.782,PERSON,ORTA,85,NO,"(2, 232, 835, 710)"
19:13:00.839,PERSON,ORTA,82,NO,"(3, 235, 837, 710)"
19:13:00.895,PERSON,ORTA,88,NO,"(1, 232, 832, 711)"
19:13:00.958,PERSON,ORTA,84,NO,"(1, 228, 835, 710)"
19:13:01.018,PERSON,ORTA,87,NO,"(1, 224, 834, 710)"
19:13:01.079,PERSON,ORTA,83,NO,"(2, 228, 833, 709)"
19:13:01.137,PERSON,ORTA,83,NO,"(2, 228, 833, 709)"
19:13:01.194,PERSON,ORTA,85,NO,"(0, 227, 833, 710)"
19:13:01.251,PERSON,ORTA,85,NO,"(2, 218, 829, 710)"
19:13:01.310,PERSON,ORTA,85,NO,"(2, 218, 829, 710)"
19:13:01.369,PERSON,ORTA,83,NO,"(0, 213, 827, 712)"
19:13:01.423,PERSON,ORTA,85,NO,"(2, 211, 828, 712)"
19:13:01.482,PERSON,ORTA,85,NO,"(0, 201, 821, 711)"
19:13:01.542,PERSON,ORTA,88,NO,"(0, 194, 821, 709)"
19:13:01.599,PERSON,ORTA,88,NO,"(0, 184, 820, 711)"
19:13:01.657,PERSON,ORTA,82,NO,"(2, 173, 820, 710)"
19:13:01.719,PERSON,ORTA,79,NO,"(3, 167, 820, 710)"
19:13:01.782,PERSON,ORTA,80,NO,"(6, 151, 820, 710)"
19:13:01.844,PERSON,ORTA,71,NO,"(472, 217, 818, 710)"
19:13:01.901,PERSON,ORTA,74,NO,"(3, 87, 821, 709)"
19:13:01.957,PERSON,ORTA,53,NO,"(478, 217, 818, 711)"
19:13:01.957,PERSON,ORTA,41,NO,"(4, 75, 829, 713)"
19:13:02.018,PERSON,ORTA,53,NO,"(478, 217, 818, 711)"
19:13:02.018,PERSON,ORTA,41,NO,"(4, 75, 829, 713)"
